CLERK,CLERK_ID,QUEUE,SITE,SHIFT,YEARS_EXPERIENCE,BASELINE_TASKS_PER_HOUR,BASELINE_ERROR_RATE,TRAINING_SCORE,TREATMENT,SHIFT_START,SHIFT_END,TASKS_COMPLETED,ERROR_RATE,TREATMENT_BINARY,GROUP,SHIFT_DURATION_HRS,TASKS_PER_HOUR
Quincy Zimmerman,LPC-2230,Personal,Phoenix Processing Center,Day,2.6,8.9,1.8,88.0,AI Extract,2026-02-19 08:16:00,2026-02-19 16:07:00,84.0,2.5,1,Treatment (AI),7.85,10.7
Alicia Usman,LPC-2231,Personal,Phoenix Processing Center,Day,0.8,8.8,1.8,81.0,Group B,2026-02-18 08:19:00,2026-02-18 16:12:00,69.0,1.8,0,Control (Manual),7.88,8.76
Leah Diaz,LPC-2232,Personal,Phoenix Processing Center,Day,4.9,9.5,1.2,89.0,AI Extract,2026-02-21 07:51:00,2026-02-21 15:43:00,84.0,1.4,1,Treatment (AI),7.87,10.67
Zane Choi,LPC-2233,Personal,Phoenix Processing Center,Evening,7.9,10.4,1.2,93.0,AI Extract,2026-02-16 12:23:00,2026-02-16 20:03:00,84.0,1.5,1,Treatment (AI),7.67,10.95
Carla Ibarra,LPC-2234,Personal,Phoenix Processing Center,Evening,5.9,8.6,2.1,80.0,Control,2026-02-21 12:19:00,2026-02-21 20:24:00,70.0,2.1,0,Control (Manual),8.08,8.66
Elena Zimmerman,LPC-2235,Personal,Phoenix Processing Center,Evening,3.2,8.6,1.8,89.0,Assist-On,2026-02-17 12:19:00,2026-02-17 20:11:00,72.0,1.9,1,Treatment (AI),7.87,9.15
Omar Kim,LPC-2236,Personal,Phoenix Processing Center,Evening,2.2,8.5,2.5,82.0,Group B,2026-02-18 12:17:00,2026-02-18 20:02:00,70.0,2.9,0,Control (Manual),7.75,9.03
Quincy Williams,LPC-2237,Personal,Phoenix Processing Center,Evening,7.8,11.2,1.7,91.0,Control,2026-02-20 12:07:00,2026-02-20 20:15:00,87.0,1.9,0,Control (Manual),8.13,10.7
Quincy Ortiz,LPC-2238,Personal,Phoenix Processing Center,Evening,3.8,8.6,2.4,77.0,Manual Entry,2026-02-20 12:13:00,2026-02-20 20:13:00,67.0,2.6,0,Control (Manual),8.0,8.38
Rosa Singh,LPC-2239,Personal,Phoenix Processing Center,Evening,0.5,8.0,3.4,75.0,Group A,2026-02-18 12:17:00,2026-02-18 20:15:00,74.0,4.2,1,Treatment (AI),7.97,9.28
Kevin Diaz,LPC-2240,Personal,Phoenix Processing Center,Evening,8.0,11.1,0.9,92.0,Group B,2026-02-20 12:11:00,2026-02-20 20:03:00,84.0,0.8,0,Control (Manual),7.87,10.67
Omar Williams,LPC-2241,Personal,Phoenix Processing Center,Evening,5.8,10.0,1.7,89.0,Treatment,2026-02-20 12:00:00,2026-02-20 20:04:00,86.0,1.8,1,Treatment (AI),8.07,10.66
Marco Ortiz,LPC-2242,Personal,Phoenix Processing Center,Evening,7.5,9.4,0.9,91.0,Treatment,2026-02-18 12:19:00,2026-02-18 20:09:00,82.0,1.7,1,Treatment (AI),7.83,10.47
Samuel Young,LPC-2243,Personal,Phoenix Processing Center,Evening,4.8,10.0,1.2,93.0,Assist-On,2026-02-20 11:54:00,2026-02-20 19:55:00,88.0,1.7,1,Treatment (AI),8.02,10.97
Quincy Young,LPC-2244,Personal,Phoenix Processing Center,Evening,7.1,10.5,1.3,87.0,Group B,2026-02-18 11:52:00,2026-02-18 19:41:00,73.0,0.9,0,Control (Manual),7.82,9.34
